,Id,Year,Month,Day,Expected Output,Actual Output,Result
0,0,-1,7,15,Year Exceed,year is lower than 2000,未通过测试
1,1,0,7,15,Year Exceed,year is lower than 2000,未通过测试
2,2,1999,7,15,Year Exceed,year is lower than 2000,未通过测试
3,3,2000,7,15,2000/7/16,2000/7/16,通过测试
4,4,2001,7,15,2001/7/16,2001/7/16,通过测试
5,5,2044,2,28,2044/2/29,2044/2/29,通过测试
6,6,2044,2,29,2044/3/1,day exceeded,未通过测试
7,7,2050,-2,15,Month Exceed,month is lower than 1,未通过测试
8,8,2050,0,15,Month Exceed,month is lower than 1,未通过测试
9,9,2050,1,15,2050/1/16,2050/1/16,通过测试
10,10,2050,2,15,2050/2/16,2050/2/16,通过测试
11,11,2050,2,28,2050/3/1,2050/3/1,通过测试
12,12,2050,2,29,day is out of range for month,day exceeded,未通过测试
13,13,2050,6,30,2050/7/1,2050/7/1,通过测试
14,14,2050,6,31,day is out of range for month,day exceeded,未通过测试
15,15,2050,7,-5,Day Exceed,day is lower than 1,未通过测试
16,16,2050,7,0,Day Exceed,day is lower than 1,未通过测试
17,17,2050,7,1,2050/7/2,2050/7/2,通过测试
18,18,2050,7,2,2050/7/3,2050/7/3,通过测试
19,19,2050,7,15,2050/7/16,2050/7/16,通过测试
20,20,2050,7,30,2050/7/31,2050/7/31,通过测试
21,21,2050,7,31,2050/8/1,2050/8/1,通过测试
22,22,2050,7,32,Day Exceed,day exceeded,未通过测试
23,23,2050,11,15,2050/11/16,2050/11/16,通过测试
24,24,2050,12,15,2050/12/16,2050/12/16,通过测试
25,25,2050,15,15,Month Exceed,month exceeded,未通过测试
26,26,2099,7,15,2099/7/16,2099/7/16,通过测试
27,27,2100,7,15,2100/7/16,2100/7/16,通过测试
28,28,2101,7,15,Year Exceed,year exceeded,未通过测试
29,29,2000,12,31,2001/1/1,2001/1/1,通过测试
30,30,2050,12,31,2051/1/1,2051/1/1,通过测试
31,31,2100,12,31,2101/1/1,2101/1/1,通过测试
